sender,receiver,edge_type
heidi_paterson,BMSscienceteach,reply
Mrs_Brabant,Mrs_Brabant,reply
Mrs_Brabant,Mrs_Brabant,reply
Mrs_Brabant,BMSscienceteach,reply
BMSscienceteach,MrsNoffy,reply
MrsNoffy,BMSscienceteach,reply
dgSciGuy,BMSscienceteach,reply
vicki_martinez,vedraven,reply
CrazySciTeach,Mrstracey_5thgr,reply
gzdeckr_,niszen,reply
rickeducation,CrazySciTeach,reply
weibertscience,CrazySciTeach,reply
LGates_science,CrazySciTeach,reply
cassiomedinas,marcospaulo07,reply
drloriandersen,drloriandersen,reply
philiplbell,philiplbell,reply
philiplbell,philiplbell,reply
oliviajune82,wandabryant,reply
Doc_AOC,DrStephOBrien,reply
bpenuel,mySciHI,reply
AnjanaIyer,Phenomen__AL,reply
qiya_anas,xTyfou,reply
sbottasullivan,nflynnseattle,reply
dahlteach,thinksci,reply
DrF4chem,DrJMintz,reply
Maiko_Nibi,ur_matilda,reply
melshep34,AliciaMotter,reply
AshcraftLizette,thinksci,reply
thinksci,cakins0101,reply
ichbinmeell,mosbyirm,reply
TarunKishore007,ngss_official,reply
cooperrc84,thinksci,reply
JanJanrobertson,cherisekhaund,reply
robert_rwallace,thinksci,reply
thinksci,ABiedenweg,reply
ABiedenweg,thinksci,reply
grayron,thinksci,reply
STEM4Real,philiplbell,reply
SahasVivek7,ngss_official,reply
